RNA_Spot_ID,Y,X
1303,1206,1626
1304,1208,553
1305,1208,1127
1306,1209,1469
1307,1209,1749
1308,1210,912
1309,1210,1441
1310,1211,1024
1311,1211,1808
1312,1212,1073
1313,1213,1337
1314,1213,840
1315,1213,858
1316,1213,1537
1317,1213,1885
1318,1214,1147
1319,1214,1377
1320,1214,1489
1321,1215,1059
1322,1215,1090
1323,1215,1216
1324,1217,811
1325,1217,1196
1326,1217,1731
1327,1218,1867
1328,1219,930
1329,1219,962
1330,1220,583
1331,1220,1007
1332,1221,1185
1333,1221,1290
1334,1221,1660
1335,1222,1642
1336,1222,1776
1337,1223,3
1338,1223,921
1339,1223,1022
1340,1223,1494
1341,1223,1518
1342,1224,986
1343,1224,1109
1344,1224,1460
1345,1225,1412
1346,1225,1599
1347,1226,1387
1348,1226,1793
1349,1227,1091
1350,1227,1432
1351,1228,1174
1352,1228,1903
1353,1229,1231
1354,1231,1558
1355,1231,1755
1356,1232,857
1357,1232,901
1358,1232,1125
1359,1232,1324
1360,1232,1843
1361,1233,996
1362,1233,1055
1363,1233,1828
1364,1236,884
1365,1236,1545
1366,1237,830
1367,1237,1024
1368,1238,1286
1369,1239,1343
1370,1239,1374
1371,1239,1457
1372,1240,1139
1373,1241,938
1374,1241,1591
1375,1243,1433
1376,1243,1895
1377,1244,924
1378,1244,1170
1379,1244,1768
1380,1245,899
1381,1245,966
1382,1245,1303
1383,1245,1554
1384,1245,1799
1385,1245,1828
1386,1247,1851
1387,1248,874
1388,1248,982
1389,1248,1316
1390,1248,1481
1391,1249,802
1392,1249,1015
1393,1249,1247
1394,1249,1733
1395,1250,1280
1396,1250,1417
1397,1251,1042
1398,1253,140
1399,1252,1486
1400,1254,859
1401,1254,952
1402,1255,827
1403,1255,1076
1404,1257,1055
1405,1257,1196
1406,1261,1018
1407,1260,1454
1408,1260,1531
1409,1261,1143
1410,1261,1297
1411,1262,1364
1412,1262,1895
1413,1263,1271
1414,1264,985
1415,1264,1354
1416,1264,1480
1417,1265,713
1418,1265,995
1419,1266,1411
1420,1267,1244
